municipio;pessoas;mortos;feridos_leves;feridos_graves;ignorados;feridos;veiculos;freq;share_tracado_via_tipo_1;share_tracado_via_tipo_2;share_is_night;share_is_weekend;share_is_single_lane;cluster
toledo;1857;63;1576;149;69;619;1315;829;0.650180940892642;0.314837153196622;0.460796139927624;0.47285886610374;0.586248492159228;2
dom eliseu;1924;96;1425;270;133;730;1308;828;0.81280193236715;0.171497584541063;0.472222222222222;0.515700483091787;0.984299516908213;5
sao borja;1836;49;1650;99;38;500;1124;828;0.75;0.247584541062802;0.386473429951691;0.46256038647343;0.995169082125604;5
caetanopolis;1738;43;1500;142;53;594;1302;826;0.727602905569007;0.246973365617433;0.347457627118644;0.513317191283293;0.364406779661017;2
acreuna;1808;76;1504;154;73;648;1199;822;0.744525547445256;0.251824817518248;0.371046228710462;0.447688564476886;0.605839416058394;2
maruim;1925;63;1663;103;96;415;1595;821;0.866017052375152;0.105968331303289;0.336175395858709;0.43727161997564;0.959805115712546;5
pouso novo;1543;52;1365;102;24;472;1174;816;0.287990196078431;0.699754901960784;0.389705882352941;0.447303921568628;0.904411764705882;4
panambi;1896;57;1668;124;47;600;1262;815;0.590184049079755;0.396319018404908;0.412269938650307;0.507975460122699;0.974233128834356;4
concordia;1632;42;1379;188;23;630;1329;814;0.366093366093366;0.63022113022113;0.331695331695332;0.501228501228501;0.993857493857494;4
itaporanga dajuda;1828;49;1575;103;101;422;1423;809;0.718170580964153;0.262051915945612;0.313967861557478;0.4610630407911;0.636588380716935;2
conceicao do jacuipe;1760;64;1464;142;90;549;1349;808;0.724009900990099;0.268564356435644;0.388613861386139;0.469059405940594;0.543316831683168;2
itapebi;1722;90;1460;118;54;523;1023;806;0.187344913151365;0.799007444168734;0.254342431761787;0.451612903225806;0.985111662531017;4
pombal;1699;72;1238;262;127;803;1215;800;0.8;0.19125;0.47375;0.49625;0.995;5
capanema;1752;84;1316;252;100;680;1307;799;0.826032540675845;0.153942428035044;0.421777221526909;0.48811013767209;0.972465581977472;5
juscimeira;1796;34;1597;133;32;475;1474;799;0.919899874843554;0.0450563204005006;0.355444305381727;0.48936170212766;0.966207759699625;5
lagoa vermelha;1717;37;1478;132;70;579;1297;799;0.460575719649562;0.529411764705882;0.451814768460576;0.490613266583229;0.987484355444305;4
milagres;2024;68;1672;187;97;629;1308;799;0.787234042553192;0.191489361702128;0.431789737171464;0.499374217772215;0.97622027534418;5
horizonte;1818;80;1297;276;165;677;1431;798;0.862155388471178;0.130325814536341;0.362155388471178;0.508771929824562;0.0714285714285714;2
rosario do sul;2303;55;2039;182;27;660;1087;798;0.74812030075188;0.241854636591479;0.452380952380952;0.505012531328321;0.992481203007519;5
indiara;1592;63;1263;205;61;627;1185;797;0.855708908406525;0.1267252195734;0.366373902132999;0.49435382685069;0.691342534504391;5
belo oriente;1710;49;1503;120;38;506;1416;793;0.747793190416141;0.25094577553594;0.355611601513241;0.484237074401009;0.844892812105927;5
conceicao da barra;1893;88;1468;243;94;789;1377;793;0.793190416141236;0.185372005044136;0.440100882723834;0.522068095838588;0.967213114754098;5
cornelio procopio;1629;32;1392;150;55;655;1163;793;0.466582597730139;0.51828499369483;0.403530895334174;0.491803278688525;0.795712484237074;4
santana do paraiso;1931;62;1642;203;24;752;1471;793;0.662042875157629;0.331651954602774;0.368221941992434;0.453972257250946;0.993694829760404;5
alem paraiba;1554;66;1293;150;45;562;1139;790;0.473417721518987;0.50126582278481;0.451898734177215;0.472151898734177;0.99746835443038;4
ceara-mirim;1760;75;1296;270;119;669;1406;790;0.877215189873418;0.108860759493671;0.453164556962025;0.522784810126582;0.965822784810127;5
